Name,Position,Overall
Kylian Mbappé,ST,91
Erling Haaland,ST,91
Kevin De Bruyne,CM,91
Lionel Messi,CF,90
Karim Benzema,CF,90
Harry Kane,ST,90
Robert Lewandowski,ST,90
Mohamed Salah,RW,89
Rúben Dias,CB,89
Vini Jr.,LW,89
Rodri,CDM,89
Neymar Jr,LW,89
Virgil van Dijk,CB,89
Casemiro,CDM,89
Bruno Fernandes,CAM,88
Antoine Griezmann,ST,88
Victor Osimhen,ST,88
Bernardo Silva,CM,88
Federico Valverde,CM,88
Joshua Kimmich,CDM,88
Luka Modrić,CM,87
Frenkie de Jong,CM,87
Lautaro Martínez,ST,87
Martin Ødegaard,CAM,87
Marquinhos,CB,87
Heung Min Son,LW,87
Ousmane Dembélé,RW,86
Bukayo Saka,RW,86
Jude Bellingham,CM,86
Rafael Leão,LW,86
Pedri,CM,86
Matthijs de Ligt,CB,86
Sandro Tonali,CDM,86
Riyad Mahrez,RM,86
Jamal Musiala,CAM,86
Nicolò Barella,CM,86
Ronald Araujo,CB,86
Paulo Dybala,CF,86
İlkay Gündoğan,CM,86
Sergej Milinković-Savić,CM,86
Khvicha Kvaratskhelia,LW,86
Andrew Robertson,LB,86
Parejo,CM,86
Sadio Mané,CF,86
Toni Kroos,CM,86
Éder Militão,CB,86
Christopher Nkunku,CF,86
N'Golo Kanté,CDM,86
João Cancelo,LB,86
Cristiano Ronaldo,ST,86
Trent Alexander-Arnold,RB,86
Jack Grealish,LW,85
Marcos Acuña,LB,85
David Alaba,CB,85
Iago Aspas,ST,85
Alessandro Bastoni,CB,85
Domenico Berardi,RW,85
Hakan Çalhanoğlu,CM,85
Kingsley Coman,LM,85
Giovanni Di Lorenzo,RB,85
Phil Foden,LW,85
Leon Goretzka,CM,85
Theo Hernández,LB,85
Ciro Immobile,ST,85
Jules Koundé,CB,85
Aymeric Laporte,CB,85
Thomas Partey,CDM,85
Marcus Rashford,LW,85
Declan Rice,CDM,85
Antonio Rüdiger,CB,85
Rodrygo,RW,85
John Stones,CB,85
Diogo Jota,CF,85
Kieran Trippier,RB,85
Raphaël Varane,CB,85
Florian Wirtz,CAM,85
Thiago,CM,84
Ismaël Bennacer,CDM,84
Julian Brandt,CAM,84
